"Name","State","Created","Runtime","task","dataset","architecture","epochs","seed","train_f1","val_f1","best_epoch","best_train_f1","best_val_f1","best_train_cod_f1","best_train_kingfish_f1","best_train_snapper_f1","best_train_empty_f1","best_val_cod_f1","best_val_kingfish_f1","best_val_empty_f1","best_val_snapper_f1"
"fresh-cherry-1200","failed","2026-04-04T04:21:41.000Z","7","presence","extreme","fusion","100","888","","","","","","","","","","","","",""
"restful-bush-1179","failed","2026-04-04T04:14:10.000Z","9","presence","extreme","lewm","100","101","","","","","","","","","","","","",""
"generous-sun-1177","failed","2026-04-04T04:12:32.000Z","13","presence","extreme","lewm","100","555","","","","","","","","","","","","",""
"bright-surf-1161","failed","2026-04-04T04:08:46.000Z","8","presence","hard","translator","100","1234","","","","","","","","","","","","",""
"grateful-glade-1158","failed","2026-04-04T04:08:13.000Z","9","presence","hard","translator","100","555","","","","","","","","","","","","",""
"honest-vortex-1151","failed","2026-04-04T04:06:04.000Z","11","presence","hard","fusion","100","1234","","","","","","","","","","","","",""
"zesty-terrain-1150","failed","2026-04-04T04:04:59.000Z","8","presence","hard","fusion","100","888","","","","","","","","","","","","",""
"neat-frost-1148","failed","2026-04-04T04:04:58.000Z","6","presence","hard","fusion","100","555","","","","","","","","","","","","",""
"kind-breeze-1149","failed","2026-04-04T04:04:58.000Z","8","presence","hard","fusion","100","101","","","","","","","","","","","","",""
"crisp-bush-1141","failed","2026-04-04T04:02:49.000Z","9","presence","hard","lewm_plus","100","1234","","","","","","","","","","","","",""
"visionary-firefly-1121","failed","2026-04-04T03:55:16.000Z","14","presence","hard","lewm","100","123","","","","","","","","","","","","",""
"fanciful-blaze-1122","failed","2026-04-04T03:55:16.000Z","8","presence","hard","jepa","100","1234","","","","","","","","","","","","",""
"eager-sun-1114","failed","2026-04-04T03:52:33.000Z","9","presence","hard","jepa","100","123","","","","","","","","","","","","",""
"celestial-darkness-1113","failed","2026-04-04T03:52:31.000Z","11","presence","hard","jepa","100","777","","","","","","","","","","","","",""
"fallen-snowflake-1101","failed","2026-04-04T03:48:45.000Z","12","presence","medium","translator","100","123","","","","","","","","","","","","",""
"devout-sky-1093","failed","2026-04-04T03:47:05.000Z","7","presence","medium","fusion","100","123","","","","","","","","","","","","",""
"fresh-totem-1086","failed","2026-04-04T03:45:29.000Z","11","presence","medium","lewm_plus","100","2024","","","","","","","","","","","","",""
"different-dream-1073","failed","2026-04-04T03:41:40.000Z","15","presence","medium","lewm","100","123","","","","","","","","","","","","",""
"bumbling-sun-1070","failed","2026-04-04T03:40:35.000Z","12","presence","medium","jepa","100","888","","","","","","","","","","","","",""
"super-water-1064","failed","2026-04-04T03:39:30.000Z","12","presence","medium","jepa","100","777","","","","","","","","","","","","",""
"balmy-capybara-1063","failed","2026-04-04T03:39:28.000Z","10","presence","medium","jepa","100","42","","","","","","","","","","","","",""
"colorful-snowball-1062","failed","2026-04-04T03:39:28.000Z","10","presence","medium","jepa","100","123","","","","","","","","","","","","",""
"firm-valley-1057","failed","2026-04-04T03:38:30.000Z","13","presence","easy","translator","100","1337","","","","","","","","","","","","",""
"zany-firebrand-1042","failed","2026-04-04T03:36:16.000Z","11","presence","easy","lewm_plus","100","1234","","","","","","","","","","","","",""
"crisp-valley-1031","failed","2026-04-04T03:34:39.000Z","9","presence","easy","jepa","100","1234","","","","","","","","","","","","",""
