2026-03-25 01:11:34,056 INFO    MainThread:55007 [wandb_setup.py:_flush():81] Current SDK version is 0.24.2
2026-03-25 01:11:34,057 INFO    MainThread:55007 [wandb_setup.py:_flush():81] Configure stats pid to 55007
2026-03-25 01:11:34,057 INFO    MainThread:55007 [wandb_setup.py:_flush():81] Loading settings from environment variables
2026-03-25 01:11:34,057 INFO    MainThread:55007 [wandb_init.py:setup_run_log_directory():717] Logging user logs to /Users/woodj/Desktop/depth-learning/ml/wandb/run-20260325_011134-6c50s2ib/logs/debug.log
2026-03-25 01:11:34,057 INFO    MainThread:55007 [wandb_init.py:setup_run_log_directory():718] Logging internal logs to /Users/woodj/Desktop/depth-learning/ml/wandb/run-20260325_011134-6c50s2ib/logs/debug-internal.log
2026-03-25 01:11:34,057 INFO    MainThread:55007 [wandb_init.py:init():844] calling init triggers
2026-03-25 01:11:34,057 INFO    MainThread:55007 [wandb_init.py:init():849] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.0003, 'architecture': 'JEPA-transformer', 'dataset': 'Synthetic-Fish-Sim-V3-Improved', 'epochs': 80, 'embed_dim': 256, 'batch_size': 32, 'weight_decay': 0.05, 'label_smoothing': 0.1, 'use_focal_loss': True, '_wandb': {}}
2026-03-25 01:11:34,057 INFO    MainThread:55007 [wandb_init.py:init():892] starting backend
2026-03-25 01:11:34,316 INFO    MainThread:55007 [wandb_init.py:init():895] sending inform_init request
2026-03-25 01:11:34,342 INFO    MainThread:55007 [wandb_init.py:init():903] backend started and connected
2026-03-25 01:11:34,362 INFO    MainThread:55007 [wandb_init.py:init():973] updated telemetry
2026-03-25 01:11:34,384 INFO    MainThread:55007 [wandb_init.py:init():997] communicating run to backend with 90.0 second timeout
2026-03-25 01:11:35,593 INFO    MainThread:55007 [wandb_init.py:init():1042] starting run threads in backend
2026-03-25 01:11:35,714 INFO    MainThread:55007 [wandb_run.py:_console_start():2529] atexit reg
2026-03-25 01:11:35,714 INFO    MainThread:55007 [wandb_run.py:_redirect():2377] redirect: wrap_raw
2026-03-25 01:11:35,714 INFO    MainThread:55007 [wandb_run.py:_redirect():2446] Wrapping output streams.
2026-03-25 01:11:35,714 INFO    MainThread:55007 [wandb_run.py:_redirect():2469] Redirects installed.
2026-03-25 01:11:35,717 INFO    MainThread:55007 [wandb_init.py:init():1082] run started, returning control to user process
